Yeezy 350 Yeshaya (Non-Reflective),M9.5,Brand New,,110,
Yeezy 350 Sand Taupe,M9.5,Brand New/Damaged Box,,,
Yeezy 500 Blush,M9.5,Brand New,,140,
Yeezy 700 Inertia,M9.5,Brand New,,270,
Jordan MTM Pack 1/29,M8.5,Used/Missing 1 Pair,,,
Jordan 1 High Doernbecher Mr Boober,M11.5,Used/No Box,,,
Nike Dunk NN Elemental Pink,W8,Brand New/No Lid Box,,,
Air Max 270 Travis Scott Cactus Trails,M10.5,Brand New,,220,
Nike Vomero Photon Dust,W10.5,Brand New,,100,SKU???
Jordan 4 Vivid Sulfur,W6.5,Brand New/No Lid Box,,,
Jordan 4 Vivid Sulfur,W6,Brand New/No Lid Box,,,
Yeezy 350 Flax,M8.5,Brand New,,110,
